[1]	training's binary_logloss:0.6800	valid_1's binary_logloss:0.6850
[2]	training's binary_logloss:0.6650	valid_1's binary_logloss:0.6720
[3]	training's binary_logloss:0.6480	valid_1's binary_logloss:0.6590
[4]	training's binary_logloss:0.6290	valid_1's binary_logloss:0.6430
[5]	training's binary_logloss:0.6100	valid_1's binary_logloss:0.6280
[6]	training's binary_logloss:0.5910	valid_1's binary_logloss:0.6120
[7]	training's binary_logloss:0.5720	valid_1's binary_logloss:0.5980
[8]	training's binary_logloss:0.5530	valid_1's binary_logloss:0.5840
[9]	training's binary_logloss:0.5350	valid_1's binary_logloss:0.5710
[10]	training's binary_logloss:0.5180	valid_1's binary_logloss:0.5590
[11]	training's binary_logloss:0.5020	valid_1's binary_logloss:0.5480
[12]	training's binary_logloss:0.4870	valid_1's binary_logloss:0.5390
[13]	training's binary_logloss:0.4730	valid_1's binary_logloss:0.5300
[14]	training's binary_logloss:0.4600	valid_1's binary_logloss:0.5230
[15]	training's binary_logloss:0.4480	valid_1's binary_logloss:0.5170
[16]	training's binary_logloss:0.4370	valid_1's binary_logloss:0.5110
[17]	training's binary_logloss:0.4270	valid_1's binary_logloss:0.5060
[18]	training's binary_logloss:0.4170	valid_1's binary_logloss:0.5020
[19]	training's binary_logloss:0.4080	valid_1's binary_logloss:0.4980
[20]	training's binary_logloss:0.4000	valid_1's binary_logloss:0.4950
