[0]	train-auc:0.5000	val-auc:0.4980
[1]	train-auc:0.5523	val-auc:0.5401
[2]	train-auc:0.6012	val-auc:0.5834
[3]	train-auc:0.6534	val-auc:0.6215
[4]	train-auc:0.7021	val-auc:0.6678
[5]	train-auc:0.7389	val-auc:0.7012
[6]	train-auc:0.7698	val-auc:0.7234
[7]	train-auc:0.7945	val-auc:0.7421
[8]	train-auc:0.8156	val-auc:0.7589
[9]	train-auc:0.8334	val-auc:0.7698
[10]	train-auc:0.8478	val-auc:0.7789
[11]	train-auc:0.8612	val-auc:0.7856
[12]	train-auc:0.8723	val-auc:0.7912
[13]	train-auc:0.8819	val-auc:0.7945
[14]	train-auc:0.8901	val-auc:0.7978
[15]	train-auc:0.8976	val-auc:0.8001
[16]	train-auc:0.9034	val-auc:0.8023
[17]	train-auc:0.9089	val-auc:0.8034
[18]	train-auc:0.9134	val-auc:0.8045
[19]	train-auc:0.9178	val-auc:0.8052
